location,size,total_sqft,bath,price,price_per_sqft
Bhoganhalli,3 BHK,1670,3,99,5928
Whitefield,3 BHK,2010,3,91,4527
Lakshminarayana Pura,2 BHK,1185,2,75,6329
Yelahanka,3 BHK,1600,2,75,4687
Begur Road,2 BHK,1200,2,44,3666
other,2 BHK,1500,2,185,12333
Murugeshpalya,6 Bedroom,1407,4,150,10660
other,2 BHK,840,2,45,5357
other,3 Bedroom,4395,3,240,5460
other,2 BHK,845,2,55,6508
Whitefield,4 Bedroom,5700,5,650,11403
Varthur,2 BHK,1160,2,44,3793
Bommanahalli,8 Bedroom,3000,8,140,4666
Doddathoguru,2 BHK,1100,2,62,5636
Gunjur,2 BHK,1140,2,43,3771
Marathahalli,2 BHK,1220,2,57,4672
Devarachikkanahalli,8 Bedroom,1350,7,85,6296
Kanakpura Road,2 BHK,1005,2,36.68,3649
other,3 Bedroom,500,3,100,20000
Begur Road,2 BHK,1358,2,80.58,5933
Hegde Nagar,3 BHK,1569,3,101,6437
Haralur Road,2 BHK,1240,2,70,5645
Hennur Road,3 BHK,2089,3,140,6701
Kothannur,2 BHK,1206,2,48.23,3999
Kalena Agrahara,2 BHK,1150,2,40,3478
other,3 BHK,2511,3,205,8164
Kaval Byrasandra,2 BHK,460,1,22,4782
ISRO Layout,6 Bedroom,4400,6,250,5681
other,3 BHK,1660,2,105,6325
Yelahanka,2 BHK,1326,2,78,5882
Garudachar Palya,3 BHK,1325,2,60.8,4588
EPIP Zone,3 BHK,1499,5,102,6804
Hegde Nagar,6 Bedroom,3000,7,210,7000
Kanakpura Road,3 BHK,1665,3,88,5285
Dasanapura,2 BHK,708,2,37,5225
Kasavanhalli,2 BHK,1060,2,58.06,5477
Rajaji Nagar,6 Bedroom,710,6,160,22535
Sanjay nagar,2 BHK,1000,2,70,7000
Electronic City,2 BHK,1000,2,28.88,2888
other,3 BHK,1450,2,70,4827
ISRO Layout,4 Bedroom,1200,4,155,12916
Thanisandra,2 BHK,1296,2,80,6172
Domlur,3 BHK,1540,3,90,5844
Kengeri,4 Bedroom,2894,4,245,8465
Sarjapura - Attibele Road,3 BHK,1330,2,48,3609
other,2 BHK,1200,2,65,5416
other,3 Bedroom,1200,3,90,7500
Yeshwanthpur,3 BHK,2502,3,138,5515
Chandapura,2 BHK,650,1,17,2615
Kothanur,3 Bedroom,2400,2,150,6250
other,2 BHK,1007,2,43,4270
other,2 BHK,1200,2,50,4166
other,2 BHK,966,2,49.9,5165
Nagarbhavi,3 BHK,1630,2,98,6012
Rajaji Nagar,3 BHK,1640,3,229,13963
other,2 BHK,782,2,55.68,7120
Devanahalli,2 BHK,1260,2,66.78,5300
other,3 BHK,1800,3,120,6666
other,3 BHK,1413,2,75,5307
Whitefield,2 BHK,1116,2,51.91,4651
Electronic City,3 BHK,1530,2,45.9,3000
Ramamurthy Nagar,4 Bedroom,3700,4,225,6081
Sarjapur  Road,3 Bedroom,2497,3,140,5606
Kengeri,3 BHK,1540,2,64,4155
Thanisandra,3 BHK,1436,3,74.75,5205
Malleshwaram,2 BHK,1100,2,75,6818
Hennur Road,2 Bedroom,276,3,23,8333
Thanisandra,3 BHK,1427,3,120,8409
Akshaya Nagar,3 BHK,2061,3,200,9704
Hebbal,4 BHK,5611.5,4,477,8500
Shampura,4 BHK,2650,4,150,5660
Devanahalli,3 BHK,1282,2,68.52,5344
Kadugodi,2 BHK,1050,2,34,3238
LB Shastri Nagar,3 BHK,1600,3,65,4062
other,2 BHK,945,2,54,5714
Hormavu,2 BHK,1500,2,78,5200
Vishwapriya Layout,7 Bedroom,950,7,115,12105
other,3 BHK,1870,3,110,5882
Sarjapur,3 Bedroom,1600,3,75,4687
Electronic City,2 BHK,880,1,16.5,1875
other,4 Bedroom,1200,4,210,17500
Kudlu Gate,3 BHK,1535,3,83,5407
Kanakpura Road,2 BHK,950,2,57,6000
Devanahalli,2 BHK,1360,2,65,4779
8th Phase JP Nagar,2 BHK,1073.5,2,54.005,5030
Bommasandra Industrial Area,3 BHK,1280,3,50.4,3937
other,3 BHK,1260,2,85.05,6750
Hennur Road,8 Bedroom,5000,8,250,5000
Yelahanka,5 BHK,3050,5,213,6983
Kasavanhalli,3 BHK,1563.05,3,105,6717
ISRO Layout,2 BHK,1000,2,60,6000
Anandapura,2 BHK,1167,2,43.76,3749
Vishveshwarya Layout,7 BHK,4000,7,225,5625
Kothanur,3 BHK,1828,3,110,6017
Kengeri Satellite Town,2 BHK,890,2,35,3932
other,3 BHK,1612,3,46.74,2899
other,6 Bedroom,1034,5,185,17891
Mysore Road,3 BHK,1710,4,91.31,5339
Kannamangala,2 BHK,957,2,58,6060
Devarachikkanahalli,3 BHK,1250,2,44,3520
other,3 BHK,2795,4,235,8407
Hulimavu,2 BHK,1125,2,50,4444
Electronic City Phase II,2 BHK,1020,2,30.6,3000
Kalena Agrahara,2 BHK,1200,2,50,4166
Thanisandra,3 BHK,1735,3,135,7780
Thanisandra,3 BHK,2050,3,145,7073
Mahalakshmi Layout,4 Bedroom,3750,4,760,20266
other,3 BHK,1350,2,48,3555
Hosa Road,2 BHK,1063,2,32,3010
other,3 BHK,1904,3,150,7878
Whitefield,4 Bedroom,4200,4,420,10000
other,3 BHK,2000,3,175,8750
Sarjapur,2 BHK,1242.5,2,43.49,3500
other,3 BHK,1425,2,75,5263
Electronic City,3 BHK,1500,2,64.5,4300
Electronic City,2 BHK,1060,2,60,5660
other,3 BHK,1470,2,70,4761
other,6 BHK,1300,6,99,7615
Attibele,1 BHK,450,1,11,2444
Electronic City,2 BHK,1152,2,64.5,5598
Electronic City,3 BHK,1350,2,56,4148
CV Raman Nagar,3 BHK,1550,3,65,4193
other,3 Bedroom,1500,3,100,6666
Kumaraswami Layout,5 Bedroom,600,3,85,14166
Nagavara,1 Bedroom,400,1,14,3500
Malleshwaram,1 BHK,705,1,67,9503
Electronic City,2 BHK,770,1,36,4675
Hulimavu,2 BHK,1242,2,51,4106
Hebbal Kempapura,3 BHK,1700,3,155,9117
Thanisandra,3 BHK,2144,3,145,6763
Vijayanagar,3 BHK,1704,3,110,6455
Electronic City,2 BHK,1070,2,52,4859
other,3 Bedroom,1846,3,300,16251
other,2 BHK,1340,2,55.7,4156
Electronic City,2 BHK,1025,2,46,4487
KR Puram,2 BHK,1277.5,2,56.8,4446
Marathahalli,2 BHK,1200,2,52,4333
Kanakpura Road,4 Bedroom,2250,4,110,4888
Pattandur Agrahara,3 BHK,1550,2,80,5161
Bellandur,4 Bedroom,1200,5,325,27083
other,7 Bedroom,1800,7,250,13888
Marathahalli,2 BHK,1200,2,60,5000
Yelahanka,2 BHK,1327,2,98,7385
Kothanur,2 BHK,1186,2,58,4890
other,3 Bedroom,1783,3,115,6449
HSR Layout,3 BHK,1400,3,56,4000
Nagasandra,2 BHK,980,2,48,4897
EPIP Zone,2 BHK,1285,2,82,6381
other,3 BHK,912,2,70,7675
Whitefield,2 BHK,1225,2,47.6,3885
Whitefield,2 BHK,1075,2,53,4930
Kadugodi,3 BHK,1260,2,54,4285
Yelahanka,3 BHK,1282,2,48.7,3798
Kogilu,3 BHK,1909,3,88,4609
Panathur,2 BHK,1359,2,87,6401
other,2 BHK,1207,2,43.5,3603
Padmanabhanagar,4 Bedroom,1736,6,190,10944
1st Block Jayanagar,4 BHK,2850,4,428,15017
Kammasandra,3 BHK,1595,3,65,4075
other,3 BHK,1798,3,89,4949
Electronics City Phase 1,3 BHK,1475,3,78.29,5307
other,3 BHK,1580,3,100,6329
Dasarahalli,2 BHK,1295,2,65,5019
Magadi Road,6 Bedroom,3600,6,141,3916
Electronic City,1 BHK,589,1,27,4584
other,3 BHK,1415,3,78,5512
Sarjapur  Road,3 BHK,1787,3,98.29,5500
Sarjapur  Road,3 BHK,1787,3,125,6994
Koramangala,3 BHK,1475,2,90,6101
other,4 BHK,2000,4,75.5,3775
Sarjapur  Road,2 BHK,984,2,44.28,4500
other,3 BHK,2405,4,260,10810
7th Phase JP Nagar,2 BHK,1080,2,72,6666
other,2 Bedroom,1500,2,115,7666
Hebbal,3 BHK,1900,3,119,6263
Dommasandra,2 BHK,805,2,22.14,2750
Budigere,2 BHK,1153,2,56.4,4891
other,2 BHK,1148,2,60,5226
other,2 BHK,1110,2,55,4954
Electronic City,2 BHK,1100,2,42,3818
Kalyan nagar,2 BHK,1290,2,110,8527
other,3 BHK,1500,2,65,4333
other,2 BHK,1080,2,39,3611
Vijayanagar,3 BHK,1933,3,129,6673
Ramamurthy Nagar,5 Bedroom,3500,5,150,4285
other,2 BHK,1060,2,60,5660
Chandapura,1 BHK,645,1,16.45,2550
other,8 Bedroom,2600,8,180,6923
Chandapura,1 BHK,645,1,16.45,2550
other,3 BHK,1644,3,84,5109
other,2 BHK,1285,2,72.5,5642
Electronic City,3 Bedroom,1200,3,90,7500
Electronic City,2 BHK,910,2,40,4395
Kothanur,3 BHK,1577,3,70,4438
other,3 Bedroom,4050,3,280,6913
OMBR Layout,3 BHK,2420,3,185,7644
Chandapura,2 BHK,800,1,20,2500
other,2 BHK,1060,2,55,5188
7th Phase JP Nagar,2 BHK,1270,2,93,7322
other,2 BHK,900,2,22.5,2500
other,2 Bedroom,1280,2,69,5390
Horamavu Agara,4 Bedroom,1200,2,95,7916
Sarjapur  Road,2 BHK,1025,2,36,3512
Electronic City,2 BHK,1108,2,63,5685
other,5 Bedroom,1200,5,170,14166
other,3 BHK,3045,3,170,5582
Ambedkar Nagar,4 Bedroom,2900,3,300,10344
Vijayanagar,3 BHK,1500,3,75.5,5033
Raja Rajeshwari Nagar,2 BHK,1295,2,43.9,3389
Budigere,2 BHK,1162,2,59.9,5154
Sarjapur  Road,2 BHK,1035,2,49.2,4753
Attibele,4 Bedroom,1600,4,52.8,3300
other,3 BHK,1464,3,46,3142
Hennur Road,3 BHK,1866,2,61.58,3300
other,2 BHK,700,1,26,3714
Kalena Agrahara,3 BHK,1804,3,120,6651
Sarjapur,2 BHK,913,2,32,3504
Talaghattapura,3 BHK,1868,3,131,7012
Kengeri Satellite Town,2 BHK,883,2,45,5096
other,2 Bedroom,900,2,110,12222
Kogilu,3 BHK,1664,2,73.95,4444
Hegde Nagar,3 BHK,2026,3,132,6515
Balagere,2 BHK,1210,2,80.9,6685
other,4 Bedroom,4111,4,250,6081
Kadugodi,3 BHK,1762,3,91.45,5190
Jigani,3 BHK,1252,3,55,4392
Gollarapalya Hosahalli,2 BHK,861,2,34.5,4006
7th Phase JP Nagar,3 BHK,1420,2,100,7042
other,6 Bedroom,1450,6,250,17241
Electronics City Phase 1,3 BHK,1490,3,78.8,5288
Bisuvanahalli,3 BHK,1075,2,46,4279
Old Madras Road,3 BHK,1425,2,94,6596
Kalena Agrahara,2 BHK,1200,2,40,3333
Kaggadasapura,3 BHK,1280,2,56,4375
other,2 BHK,1084,2,50,4612
Chandapura,2 BHK,1015,2,25.88,2549
Kanakpura Road,2 BHK,1017,2,51.25,5039
Haralur Road,2 BHK,1027,2,44,4284
Electronic City Phase II,2 BHK,1069,2,45,4209
Hebbal,2 BHK,1349,2,98.2,7279
9th Phase JP Nagar,2 BHK,1005,2,50,4975
Jakkur,2 BHK,1417,2,75,5292
TC Palaya,3 Bedroom,1475,3,98,6644
other,2 BHK,950,2,47,4947
other,4 BHK,2000,4,120,6000
Giri Nagar,3 Bedroom,880,3,140,15909
Sarjapur  Road,4 BHK,1863,3,104,5582
Singasandra,2 BHK,1010,2,29.5,2920
Kalena Agrahara,3 BHK,1425,2,70,4912
Vijayanagar,3 BHK,1450,3,100,6896
Kothanur,3 BHK,1847,3,105,5684
AECS Layout,2 BHK,1100,2,45,4090
Kanakpura Road,1 BHK,525,1,26,4952
Mallasandra,3 BHK,1665,3,95,5705
Begur,4 BHK,1664,4,65,3906
JP Nagar,3 BHK,1850,3,150,8108
Panathur,2 BHK,1438,2,100,6954
other,3 BHK,1560,3,115,7371
Yelahanka,2 BHK,1350,2,55.55,4114
Kanakpura Road,3 BHK,1550,3,67,4322
Malleshpalya,2 BHK,1140,2,46.5,4078
other,5 Bedroom,1200,5,180,15000
other,2 BHK,850,2,27,3176
Whitefield,2 BHK,1280,2,75,5859
Munnekollal,2 BHK,1170,2,52,4444
other,2 BHK,1113,2,51,4582
Hennur Road,2 BHK,1385,2,83.09,5999
Electronic City,2 BHK,1128,2,65,5762
Marathahalli,2 Bedroom,1200,2,128,10666
other,4 Bedroom,1200,4,165,13750
Rajaji Nagar,3 BHK,2390,3,415,17364
Giri Nagar,4 Bedroom,2400,4,400,16666
Haralur Road,3 BHK,1464,3,56,3825
other,2 BHK,1200,2,55,4583
Kaval Byrasandra,2 BHK,1200,2,52,4333
Kaggalipura,3 BHK,1150,2,55,4782
other,3 BHK,1645,3,95,5775
Sarjapur  Road,2 BHK,1000,2,67,6700
Haralur Road,4 Bedroom,2650,4,198,7471
6th Phase JP Nagar,2 BHK,1192,2,74,6208
Ulsoor,3 BHK,2135,3,215,10070
Whitefield,2 BHK,1173,2,58,4944
Uttarahalli,2 BHK,1020,2,45,4411
Thigalarapalya,4 BHK,3122,6,230,7367
Somasundara Palya,3 BHK,1600,3,64,4000
other,2 Bedroom,1200,2,79,6583
other,2 BHK,1230,2,48,3902
Devarachikkanahalli,2 BHK,1250,2,40,3200
Kalena Agrahara,2 BHK,1325,2,76,5735
7th Phase JP Nagar,3 BHK,1850,3,150,8108
Basaveshwara Nagar,2 BHK,1200,2,65,5416
other,3 Bedroom,1350,2,140,10370
Bommasandra,3 BHK,1260,3,49.36,3917
other,3 BHK,1800,3,150,8333
other,3 Bedroom,11,3,74,672727
Ardendale,2 BHK,1100,2,43.25,3931
Harlur,2 BHK,1508,2,77,5106
other,3 BHK,1592,3,75,4711
Akshaya Nagar,2 BHK,1388,2,57,4106
Electronic City Phase II,1 BHK,630,1,28.35,4500
other,3 Bedroom,2000,3,365,18250
other,3 BHK,1762,3,125,7094
other,2 BHK,950,2,50,5263
Kodihalli,4 BHK,3252,5,335,10301
Magadi Road,2 BHK,1116,2,50,4480
Narayanapura,2 BHK,1308,2,89.04,6807
other,3 BHK,1200,3,90,7500
other,4 Bedroom,1500,4,230,15333
Bannerghatta Road,1 BHK,500,1,18.5,3700
Hennur,2 BHK,1075,2,52,4837
Chandapura,1 BHK,530,1,11.66,2200
Bellandur,2 BHK,1205,2,66,5477
5th Phase JP Nagar,2 BHK,1075,2,60,5581
KR Puram,2 BHK,930,2,39,4193
Balagere,2 BHK,1380,2,60,4347
Hebbal,4 BHK,2483,5,212,8538
Kodigehaali,2 BHK,1166,2,55,4716
Bannerghatta Road,2 BHK,1050,2,65,6190
other,3 BHK,2023.71,3,275,13588
Begur Road,2 BHK,1200,2,46.8,3900
Lakshminarayana Pura,3 BHK,1600,2,108,6750
Billekahalli,3 BHK,1935,3,110,5684
8th Phase JP Nagar,1 BHK,451,1,29.9,6629
Electronic City,3 BHK,1800,3,95,5277
Jalahalli,3 BHK,1400,3,77,5500
Hegde Nagar,3 BHK,1801,3,115,6385
Mahadevpura,2 BHK,1451,2,90,6202
Anekal,2 Bedroom,1200,1,36,3000
Begur Road,2 BHK,1160,2,44,3793
Kengeri,2 BHK,1000,2,25,2500
Kanakpura Road,2 BHK,950,2,40,4210
other,3 BHK,1629,3,79,4849
Vijayanagar,3 BHK,1580,2,134,8481
Vijayanagar,3 BHK,1826,3,121,6626
7th Phase JP Nagar,2 BHK,1245,2,94,7550
Raja Rajeshwari Nagar,2 BHK,1145,2,45.79,3999
Sompura,2 BHK,825,2,33,4000
Yeshwanthpur,3 BHK,1693,3,108,6379
Electronics City Phase 1,2 BHK,1113.27,2,53,4760
other,2 BHK,1460,2,58,3972
Doddathoguru,2 BHK,1050,2,32,3047
Dodda Nekkundi,2 BHK,1260,2,55,4365
other,6 BHK,700,3,120,17142
Hosur Road,2 BHK,1656,2,120,7246
Chandapura,3 BHK,1208,3,45,3725
Whitefield,3 BHK,1910,3,161,8429
Whitefield,4 BHK,3252,4,230,7072
Battarahalli,2 Bedroom,1200,2,65,5416
other,4 BHK,1200,4,175,14583
7th Phase JP Nagar,2 BHK,1175,2,82,6978
other,2 Bedroom,1000,2,165,16500
Bannerghatta Road,4 Bedroom,1200,2,125,10416
Rajaji Nagar,3 BHK,2390,3,410,17154
Rajaji Nagar,7 BHK,12000,6,2200,18333
Sultan Palaya,2 Bedroom,550,1,62,11272
other,2 BHK,1185,2,38,3206
Kengeri,2 BHK,750,2,38,5066
Mahalakshmi Layout,6 Bedroom,1200,7,250,20833
Kanakpura Road,3 BHK,1550,3,64.5,4161
other,3 BHK,1760,3,88,5000
Billekahalli,2 BHK,1125,2,62,5511
Nagarbhavi,3 Bedroom,1350,3,150,11111
Anandapura,2 Bedroom,1000,2,55,5500
Bommasandra Industrial Area,2 BHK,1090,2,31.48,2888
TC Palaya,2 Bedroom,1200,2,60,5000
Budigere,3 BHK,1991,4,103,5173
Bommasandra,2 BHK,1060,2,26.5,2500
Ambalipura,2 BHK,1105,2,75,6787
Hoodi,2 BHK,985,2,67,6802
Chandapura,6 Bedroom,1533,5,85,5544
Balagere,3 BHK,1590,3,79,4968
CV Raman Nagar,2 BHK,1120,2,55,4910
other,2 BHK,1069,2,55,5144
Marathahalli,3 BHK,1933,3,140,7242
Hosur Road,2 BHK,1194,2,69,5778
Brookefield,2 BHK,1150,2,69,6000
Yelenahalli,2 BHK,1240,2,47.12,3800
Raja Rajeshwari Nagar,2 BHK,1419,2,48.1,3389
7th Phase JP Nagar,8 Bedroom,1200,8,250,20833
other,3 BHK,2150,4,240,11162
other,3 BHK,1450,3,55,3793
other,3 BHK,1630,3,68.29,4189
Dasanapura,2 BHK,708,1,40,5649
Kasavanhalli,3 Bedroom,1000,4,110,11000
Whitefield,4 Bedroom,11890,4,700,5887
Bellandur,2 BHK,1250,2,76,6080
7th Phase JP Nagar,3 BHK,1400,2,95,6785
Sarjapur  Road,3 BHK,1670,2,57,3413
Ardendale,3 BHK,1750,3,100,5714
Vittasandra,2 BHK,1404,2,71,5056
Hoodi,3 BHK,1715,2,95,5539
Electronic City,1 BHK,630,1,34.65,5500
Harlur,3 BHK,1752.12,3,135,7704
Hulimavu,3 BHK,1650,3,78,4727
Raja Rajeshwari Nagar,2 BHK,1295,2,55.47,4283
Giri Nagar,3 Bedroom,1800,3,252,14000
Sarjapur  Road,2 BHK,1346,2,74.03,5500
other,4 Bedroom,1200,4,200,16666
Hormavu,2 BHK,1150,2,55,4782
other,4 Bedroom,3309,4,325,9821
Chandapura,3 BHK,1190,2,30.35,2550
AECS Layout,3 BHK,1620,3,98,6049
Marathahalli,2 BHK,950,2,46.96,4943
other,11 BHK,5000,9,360,7200
Harlur,3 BHK,2450,3,120,4897
Electronic City Phase II,3 BHK,1220,2,35.23,2887
other,2 BHK,850,2,30,3529
Padmanabhanagar,2 BHK,1020,2,63,6176
Chikkalasandra,2 BHK,1100,2,50,4545
other,2 BHK,1150,2,126,10956
Hebbal,3 BHK,1760,2,130,7386
Ambalipura,3 BHK,1800,3,110,6111
Akshaya Nagar,2 BHK,1070,2,54,5046
2nd Stage Nagarbhavi,4 Bedroom,1500,4,220,14666
Vidyaranyapura,2 Bedroom,1440,2,95,6597
Amruthahalli,2 BHK,900,2,40,4444
other,4 BHK,1200,4,230,19166
Whitefield,2 BHK,1130,2,42.16,3730
Koramangala,2 BHK,1320,2,165,12500
Kodigehalli,2 BHK,1270,2,98,7716
other,2 BHK,1200,2,62,5166
other,4 BHK,4800,4,235,4895
other,2 BHK,1200,2,74,6166
Subramanyapura,2 BHK,929,2,50.17,5400
other,4 BHK,1150,4,260,22608
Basavangudi,4 Bedroom,1125,4,180,16000
Kenchenahalli,5 Bedroom,500,3,65,13000
other,5 Bedroom,1200,5,190,15833
other,3 BHK,1464,3,56,3825
7th Phase JP Nagar,4 BHK,3600,4,400,11111
other,4 Bedroom,2000,4,99,4950
Chikkalasandra,2 BHK,1208,2,49,4056
Hebbal Kempapura,2 BHK,1130,2,60,5309
other,3 BHK,1753,3,120,6845
Old Madras Road,5 BHK,4500,7,337,7488
Banjara Layout,3 Bedroom,600,3,58,9666
Hoodi,2 BHK,1196,2,94.42,7894
5th Phase JP Nagar,2 BHK,1150,3,52.5,4565
Electronic City,2 BHK,1128,2,63,5585
other,2 BHK,1000,2,53,5300
Yelahanka,2 BHK,1035,2,45,4347
Kereguddadahalli,2 BHK,950,2,32,3368
Bisuvanahalli,3 BHK,1075,2,36,3348
Whitefield,2 BHK,1040,2,48.5,4663
other,2 Bedroom,720,2,45,6250
Lingadheeranahalli,3 BHK,1511,3,95,6287
other,3 BHK,1300,3,58,4461
Hoodi,3 BHK,1545,3,68.75,4449
Shampura,1 BHK,375,2,26,6933
Vidyaranyapura,2 BHK,1062,2,38,3578
other,2 BHK,1115,2,40,3587
JP Nagar,2 BHK,1000,2,35,3500
Kambipura,2 BHK,883,2,45,5096
Sarjapur  Road,2 BHK,1195,2,70,5857
other,4 Bedroom,1200,3,165,13750
other,1 Bedroom,700,1,41,5857
Vittasandra,2 BHK,1246,2,67,5377
8th Phase JP Nagar,4 Bedroom,660,4,90,13636
Banashankari Stage III,4 Bedroom,8500,4,145,1705
other,4 BHK,1600,4,80,5000
Haralur Road,4 BHK,2805,5,154,5490
Begur Road,3 BHK,1584,3,65,4103
Sector 7 HSR Layout,4 Bedroom,3000,5,275,9166
Hosur Road,3 BHK,1175,2,48,4085
other,3 BHK,1595,3,115,7210
other,2 BHK,1353,2,110,8130
Electronic City,3 BHK,1599,3,125,7817
Whitefield,2 BHK,1150,2,70,6086
Jakkur,4 BHK,5230,6,465,8891
KR Puram,2 BHK,1155,2,42.74,3700
other,1 BHK,1200,2,85,7083
Electronic City Phase II,2 BHK,1000,2,25,2500
Thanisandra,4 BHK,3000,4,120,4000
Rajiv Nagar,3 BHK,1867,3,160,8569
Ramagondanahalli,2 BHK,1251,2,47,3756
other,2 BHK,1028,2,45.5,4426
Arekere,2 BHK,1222,2,45,3682
Bannerghatta Road,3 BHK,1170,2,66,5641
Hebbal,3 BHK,2400,4,245,10208
other,3 BHK,1385,2,48.48,3500
HSR Layout,2 BHK,1372,2,68,4956
Magadi Road,3 BHK,1282,2,49,3822
Mico Layout,9 BHK,5000,9,210,4200
other,5 Bedroom,3000,3,528,17600
Kanakpura Road,2 BHK,1135,2,39.73,3500
Whitefield,3 BHK,1768,3,101,5712
other,3 BHK,1325,2,90,6792
Electronic City,3 BHK,1599,3,99,6191
Whitefield,3 Bedroom,1500,3,61.95,4130
other,3 Bedroom,2610,3,499,19118
Uttarahalli,2 BHK,1286,2,63,4898
Kammanahalli,5 BHK,2845,5,140,4920
other,3 BHK,1600,2,50,3125
Hennur Road,2 BHK,1317.5,2,63.77,4840
Hebbal,3 BHK,3450,5,260,7536
Munnekollal,2 BHK,1102,2,53.67,4870
Yelahanka,2 BHK,1350,2,54,4000
Banashankari,3 BHK,1200,2,42,3500
Hosa Road,6 Bedroom,1300,6,145,11153
other,2 Bedroom,1800,1,80,4444
Chikkabanavar,2 BHK,950,2,40,4210
Kanakpura Road,1 BHK,525,1,27.25,5190
Attibele,2 BHK,656,2,25,3810
Marathahalli,4 Bedroom,1780,4,175,9831
other,2 BHK,1056,2,80,7575
Bannerghatta Road,1 BHK,595,1,33.32,5600
other,2 BHK,1080,2,50,4629
7th Phase JP Nagar,3 BHK,2225,3,160,7191
Bommasandra,2 BHK,1126,2,28.15,2500
Electronics City Phase 1,3 BHK,1490,3,84,5637
HRBR Layout,4 Bedroom,2000,4,300,15000
Sarjapur  Road,3 BHK,1550,3,100,6451
other,2 BHK,1160,2,55,4741
Whitefield,4 Bedroom,4144,4,315,7601
Sarjapur  Road,3 BHK,2100,3,125,5952
Vittasandra,2 BHK,1404,2,69.3,4935
Sarjapur  Road,4 Bedroom,2230,4,225,10089
other,3 BHK,1544,3,120,7772
Banashankari Stage III,3 BHK,1305,2,58.7,4498
Marathahalli,2 BHK,1230,2,80,6504
other,2 Bedroom,1200,2,65,5416
Harlur,3 BHK,1460,3,73,5000
Gottigere,2 BHK,967,2,45,4653
other,1 Bedroom,540,1,36,6666
Hormavu,1 BHK,715,1,46,6433
Whitefield,3 BHK,2500,3,313,12520
other,3 BHK,1578,3,180,11406
Mysore Road,2 BHK,1020,2,48.95,4799
Jigani,2 BHK,1020,2,40,3921
Koramangala,2 BHK,1253,2,102,8140
other,2 BHK,1180,2,42,3559
Nehru Nagar,2 BHK,961,2,38,3954
Kanakapura,3 BHK,1419,3,75,5285
Harlur,3 BHK,1709,3,150,8777
other,2 Bedroom,1600,2,115,7187
other,1 BHK,416,1,18.5,4447
Sanjay nagar,2 BHK,1100,2,98,8909
HSR Layout,3 BHK,1430,2,65,4545
other,2 BHK,1260,2,45,3571
other,3 BHK,1630,3,85,5214
Sarjapur  Road,3 BHK,1249,3,44.71,3579
Kalena Agrahara,3 BHK,1450,2,85,5862
Konanakunte,3 BHK,2791,3,223,7989
other,1 BHK,600,1,90,15000
other,1 BHK,834,1,60,7194
other,3 Bedroom,1125,4,70,6222
Arekere,3 BHK,2060,3,140,6796
Malleshwaram,7 BHK,12000,7,2200,18333
Gottigere,2 BHK,891,2,25,2805
Raja Rajeshwari Nagar,2 BHK,1133,2,49.07,4330
Bisuvanahalli,3 BHK,1075,2,37,3441
